Año;Vuelta;Distrito electoral;Organización Política;%_votos_validos;Color
2021;Primera;MOQUEGUA;PERÚ LIBRE;34.38%;#7a0101
2021;Primera;PASCO;PERÚ LIBRE;34.19%;#7a0101
2021;Primera;PIURA;FUERZA POPULAR;24.81%;#ff8c00
2021;Primera;PUNO;PERÚ LIBRE;47.47%;#7a0101
2021;Primera;SAN MARTIN;PERÚ LIBRE;21.37%;#7a0101
2021;Primera;TACNA;PERÚ LIBRE;33.21%;#7a0101
2021;Primera;TUMBES;FUERZA POPULAR;37.05%;#ff8c00
2021;Primera;CALLAO;FUERZA POPULAR;15.17%;#ff8c00
2021;Primera;UCAYALI;FUERZA POPULAR;21.51%;#ff8c00
2021;Primera;EXTRANJERO;RENOVACIÓN POPULAR;21.48%;#00bfff
2021;Segunda;AMAZONAS;PERÚ LIBRE;66.71%;#7a0101
2021;Segunda;ANCASH;PERÚ LIBRE;58.39%;#7a0101
2021;Segunda;APURIMAC;PERÚ LIBRE;81.47%;#7a0101
2021;Segunda;AREQUIPA;PERÚ LIBRE;64.84%;#7a0101
2021;Segunda;AYACUCHO;PERÚ LIBRE;82.64%;#7a0101
2021;Segunda;CAJAMARCA;PERÚ LIBRE;71.28%;#7a0101
2021;Segunda;CUSCO;PERÚ LIBRE;83.20%;#7a0101
2021;Segunda;HUANCAVELICA;PERÚ LIBRE;84.81%;#7a0101
2021;Segunda;HUANUCO;PERÚ LIBRE;67.71%;#7a0101
2021;Segunda;ICA;FUERZA POPULAR;52.48%;#ff8c00
2021;Segunda;JUNIN;PERÚ LIBRE;58.15%;#7a0101
2021;Segunda;LA LIBERTAD;FUERZA POPULAR;60.00%;#ff8c00
2021;Segunda;LAMBAYEQUE;FUERZA POPULAR;58.18%;#ff8c00
2021;Segunda;LIMA;FUERZA POPULAR;64.64%;#ff8c00
2021;Segunda;LORETO;FUERZA POPULAR;51.80%;#ff8c00
2021;Segunda;MADRE DE DIOS;PERÚ LIBRE;71.06%;#7a0101
2021;Segunda;MOQUEGUA;PERÚ LIBRE;73.13%;#7a0101
2021;Segunda;PASCO;PERÚ LIBRE;65.35%;#7a0101
2021;Segunda;PIURA;FUERZA POPULAR;60.05%;#ff8c00
2021;Segunda;PUNO;PERÚ LIBRE;89.26%;#7a0101
2021;Segunda;SAN MARTIN;PERÚ LIBRE;56.12%;#7a0101
2021;Segunda;TACNA;PERÚ LIBRE;72.57%;#7a0101
2021;Segunda;TUMBES;FUERZA POPULAR;65.88%;#ff8c00
2021;Segunda;CALLAO;FUERZA POPULAR;67.42%;#ff8c00
2021;Segunda;UCAYALI;FUERZA POPULAR;51.82%;#ff8c00
2021;Segunda;RESIDENTES EN EL EXTRANJERO;FUERZA POPULAR;66.19%;#ff8c00
